PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=524 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=517 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=527 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=527 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=538 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=546 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=555 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=564 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=567 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=576 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=584 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=585 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=594 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=601 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=609 ms

--- 10.0.0.2 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 99154ms
rtt min/avg/max/mdev = 422.584/635.301/820.331/113.519 ms
